label,setting,M,rep,seed,selected_h,sup_err,ise,boundary,gap_to_oracle,D_hat,var_raw_num,var_raw_den
MM1,wide,4000,0,3003105692,0.0375,1.0284810261053043,0.95692583961495,0.0,3.8791666570105447,0.6522345327363983,0.9038005776421654,2.7874958051699115
MM1,wide,4000,1,976400780,0.026516504294,4.625628390942868,3.6418719322030544,0.0,13.399828254305856,0.7362135027786963,1.3491026743961776,3.8417481955666455
MM1,wide,4000,2,3387213021,0.15,1.406821867528821,0.7922869059675757,0.0,4.713511598281509,0.608990058742071,0.19372502388089652,0.540651820217343
MM1,wide,4000,3,1360466708,0.026516504294,5.644596640919765,4.695717285152018,0.0,19.69256796988616,0.678215163618932,1.1520841078938517,4.001022441769711
MM1,wide,4000,4,876933080,0.053033008589,0.6694255859890932,0.6192589678823723,0.0,2.3769376652809373,0.6994944478427578,0.5130087299801506,1.7676310675930877
MM1,wide,4000,5,3424658561,0.15,1.66787322606463,1.080424325814423,0.0,2.12090422126123,0.7061230830194725,0.20477301972087325,0.6412458116950771
MM1,wide,4000,6,2760304911,0.026516504294,3.449919429030203,2.410905682033316,0.0,6.8000702408989575,0.780357925738476,0.8382216133076473,3.5536287412785246
MM1,wide,4000,7,2904491693,0.02025,3.29920916053688,2.4265156174070506,1.0,7.168418511548813,0.6052850356805631,1.7490938505985683,3.3705938918006244
MM1,wide,4000,8,4245388044,0.02025,5.371719581992325,4.570031179930377,1.0,24.796183426026708,0.7121567815530238,1.31953720506787,4.688109759136596
MM1,wide,4000,9,1679802727,0.053033008589,2.327839128601177,1.426949643388382,0.0,15.028311446456264,0.6144873792163936,0.6037245885417327,1.611752577215945
MM1,wide,4000,10,3605303106,0.15,2.3834073935524547,1.4786284400761414,0.0,6.283031607036599,0.6287117342163339,0.19783660510364828,0.5055614988299987
MM1,wide,4000,11,1429424934,0.106066017178,1.2876014514981171,1.2629053597009017,0.0,2.895579221211375,0.6135185699821806,0.2180356140651217,0.7403158195772215
MM1,wide,4000,12,2437408156,0.0375,2.550329474933712,1.6045711127936642,0.0,8.501990619742514,0.607084584278193,0.7168262533964397,1.9150707772769278
MM1,wide,4000,13,2569716528,0.075,3.7040126409624152,2.6904418563485386,0.0,10.232077954884009,0.6477169928242028,0.5451284129392956,1.2871267305490608
MM1,wide,4000,14,915442270,0.053033008589,3.055657265272384,2.0901849881995447,0.0,14.941852982805978,0.6933935988606375,0.6821300886986956,2.326684665608593
MM1,wide,4000,15,802017219,0.212132034356,1.638014498168343,0.8918615253470041,0.0,9.257938233594963,0.6493240928208484,0.1493977982462933,0.4210016400925206
MM1,wide,4000,16,984129068,0.053033008589,1.6961867180348045,1.0902780344243457,0.0,1.739578859527677,0.6441065110697263,0.7970216345943897,1.7584286632015433
MM1,wide,4000,17,2889465206,0.0375,4.900173171940786,3.828203197021181,0.0,8.872280731044933,0.6514355657391361,0.9720593477775163,2.2799351550556284
MM1,wide,4000,18,2634853374,0.053033008589,1.1253309293822986,1.0117543870371015,0.0,3.4512714379021,0.7309796491983493,0.6114368544398404,2.0689498019746444
MM1,wide,4000,19,4045012504,0.0375,1.6424152261002325,0.8541191214869539,0.0,12.00337858342174,0.6324010946959158,0.812897582272773,2.0418526661232055
MM1,wide,4000,20,3032918238,0.0375,2.094461400743872,1.3321783540514742,0.0,3.1877659045502784,0.7174123446743782,0.7637686949563537,2.271046506287632
MM1,wide,4000,21,1066207224,0.026516504294,2.072209074312074,1.2588582659192875,0.0,5.128316755533731,0.596041353067248,0.9554612818515769,2.7686119379170386
MM1,wide,4000,22,3929519758,0.075,2.654983735386845,1.6887769499231835,0.0,11.27231704993608,0.6478555738080974,0.5906713846617678,1.3365630259733907
MM1,wide,4000,23,4075413513,0.0375,2.631290513185048,1.6850918612001986,0.0,8.769558790137003,0.5906718463604881,0.8343714932126316,2.113702772589981
MM1,wide,4000,24,3145778132,0.053033008589,2.709594837801392,1.867368614148978,0.0,3.1544941941660065,0.6462132566944442,0.6234532970627641,1.5038041283820753
MM1,wide,4000,25,2865763038,0.075,1.0062861164254722,0.6750367863748267,0.0,1.199037110933055,0.6465434460134525,0.4166759579871522,1.070633704625172
MM1,wide,4000,26,561033802,0.026516504294,2.813855182405953,2.3555172784654737,0.0,3.3746588770198573,0.6477757441298548,1.1256087595546767,3.1289878850912713
MM1,wide,4000,27,411878496,0.106066017178,0.7989939376671129,0.4101016499538875,0.0,2.4773005815780973,0.651454036293635,0.2910942357844821,0.8001841815630938
MM1,wide,4000,28,1143809828,0.0375,1.5472006948505843,0.7851342582695193,0.0,3.575365793379733,0.6783861748289637,0.5828603485370325,1.9881177694551257
MM1,wide,4000,29,1897686915,0.15,2.880969587953156,1.96526989493117,0.0,4.757075188834416,0.6785423354424938,0.24147793012765126,0.6500151824652538
MM1,wide,4000,30,310984977,0.02025,5.371115850600873,4.530913054369111,1.0,8.11769605481893,0.593811765861389,1.541679249093614,4.420483947275168
MM1,wide,4000,31,3807402261,0.0375,3.5352285378625883,2.6209610691507894,0.0,4.551972408853193,0.781803404085293,1.3734696472090184,3.8537881825583606
MM1,wide,4000,32,2035922533,0.053033008589,2.185891757515744,1.4311975130351895,0.0,10.64822270357895,0.6270647833776941,0.6356791876284793,1.6231682003457724
MM1,wide,4000,33,2995539971,0.02025,3.5904108266138257,2.533371793282092,1.0,5.408688162245015,0.5959968279037066,1.67077902841289,4.072658602405775
MM1,wide,4000,34,913046978,0.3,0.6757231319155776,0.3579025023586897,0.0,1.7876990125524472,0.7177613402370333,0.11495918592755916,0.31253026480478585
MM1,wide,4000,35,1402190273,0.026516504294,1.8485335311552096,1.479580465132887,0.0,3.943408123167347,0.6843740525156264,1.3183577417145562,3.0330242938526197
MM1,wide,4000,36,498139153,0.075,2.9262101961767515,2.06245502088972,0.0,4.173336616930332,0.6091317228877781,0.45286705866762583,1.1561954479894823
MM1,wide,4000,37,3152197458,0.0375,1.2700267111297454,1.2088775869082689,0.0,7.132501774894871,0.5266399316524917,0.7330731988182783,1.8685490928183632
MM1,wide,4000,38,3325497001,0.075,1.8368111288549585,1.2162165282095905,0.0,4.898634262990681,0.6472357832584793,0.3832817698084263,1.0955891417134964
MM1,wide,4000,39,945472433,0.026516504294,1.935257606625468,1.7259257594482704,0.0,4.149410288577461,0.6205911437072353,0.9676582653333913,3.424093382978789
MM1,wide,4000,40,3070822591,0.0375,3.036742467187981,2.187149680037215,0.0,16.339139907704634,0.6051412322157341,0.6526662058631754,1.6141631132830963
MM1,wide,4000,41,350446006,0.15,2.031946753883335,1.205968085045457,0.0,8.370464098072379,0.6229919957413307,0.1792795156738915,0.5029626452710169
MM1,wide,4000,42,1681873724,0.053033008589,2.134159894374651,1.2869531103526028,0.0,11.19800742598509,0.6252257529133624,0.69977209436694,1.789025018489123
MM1,wide,4000,43,686746376,0.026516504294,3.242998880609802,2.2151109075247084,0.0,15.451873661717045,0.4985303904046884,1.1266294834169,1.8638529051994817
MM1,wide,4000,44,3195502165,0.053033008589,0.683218769758509,0.502375258810391,0.0,1.8845973254336357,0.5973419959720092,0.588582569384125,1.4808590572049116
MM1,wide,4000,45,1460719170,0.075,2.8732847197449733,1.8876263714541344,0.0,13.658887147117603,0.6234121001943024,0.424461263552182,1.1361126593686053
MM1,wide,4000,46,2033282004,0.026516504294,3.582918076469801,2.636400724809641,0.0,11.82092808064251,0.7255079774122549,1.81662898267971,4.672713337038873
MM1,wide,4000,47,1997989380,0.075,1.0809636962472813,1.0744413006848978,0.0,3.3210715236674693,0.6555738829512094,0.3953546825829277,1.2412822288953624
MM1,wide,4000,48,2042481486,0.0375,3.7086511559558657,2.549980468480048,0.0,3.8723254767084816,0.5820327592744783,0.7535019070117657,1.8678973825549765
MM1,wide,4000,49,1144269602,0.026516504294,1.9703379300736976,1.7731741875707454,0.0,8.23712620063268,0.645251777044047,0.8670447484315961,2.468075602249908
MM1,wide,4000,50,2396799522,0.02025,3.4536332534563328,3.48260261241002,1.0,7.3931317946512705,0.7321957462509424,1.3315495701260656,5.063151551699645
MM1,wide,4000,51,3503732972,0.0375,3.1998829862716853,2.8970591462750472,0.0,7.8026362532561,0.6907232554399808,0.661582857757143,2.755527488138221
MM1,wide,4000,52,2141779427,0.106066017178,1.3148016004805974,0.6843692796996161,0.0,11.221312388876354,0.5944449985156338,0.19736796443530463,0.5341374481811474
MM1,wide,4000,53,830193079,0.053033008589,0.852511091500685,0.7662762374064683,0.0,1.4570166816747252,0.6148538700819528,0.5420992203466357,1.5954171471627978
MM1,wide,4000,54,104832471,0.02025,4.106817338845915,3.2335525031208454,1.0,15.552833892478848,0.6062653533806253,1.2248020821025614,3.1288475920166268
MM1,wide,4000,55,556065447,0.106066017178,1.3600580863793454,0.6658321083055077,0.0,3.043756577563426,0.6660512815403556,0.3094272792009688,0.8838299305202914
MM1,wide,4000,56,349892316,0.106066017178,2.0249977186550328,1.172768700310589,0.0,6.172856483871212,0.6846871512557215,0.2807496678091674,0.9466347658950984
MM1,wide,4000,57,393697109,0.026516504294,4.042334638046062,3.0404400660076574,0.0,4.138267809148601,0.7927931253626445,1.0806037705622002,4.195268445254256
MM1,wide,4000,58,526061820,0.0375,1.2902634077184414,1.1429619301063578,0.0,3.799572154500338,0.6917551547211254,0.8381629793769717,3.135066015609181
MM1,wide,4000,59,2570830042,0.075,2.455282333320633,1.4828211104940976,0.0,3.1349140986692103,0.6575779480587898,0.3872800105072836,1.0886858478812333
MM1,wide,4000,60,3466446890,0.02025,4.461695938004407,3.328906862165777,1.0,6.05075727496041,0.6400413667817068,1.570456776519637,4.331816726792609
MM1,wide,4000,61,3671088524,0.026516504294,4.313604723773675,3.5810197849448206,0.0,5.347184110585225,0.5998385948748514,1.1560525665622436,3.7433118119135385
MM1,wide,4000,62,2806373941,0.02025,2.581858306542424,2.7502093264953085,1.0,17.629685238902862,0.5977061207730657,1.4420865860068088,2.549576028727359
MM1,wide,4000,63,2583943556,0.053033008589,1.902661320884419,1.0747235795346326,0.0,5.887203153878965,0.7902095317674522,0.5794257827016166,2.5164165218467383
MM1,wide,4000,64,1424584135,0.0375,3.4793990604079794,2.3802401399221416,0.0,7.29224099975541,0.6258590339286169,0.8544706511453348,2.6143211453886837
MM1,wide,4000,65,4002859530,0.0375,4.536606910475241,3.543882991810195,0.0,9.481254323940895,0.7519907955753702,0.7847083463236743,1.9933348686308574
MM1,wide,4000,66,2751328124,0.026516504294,2.076565955965102,1.746351843821513,0.0,4.698662359512877,0.6153052638783726,0.9038707734316844,2.7764706232297476
MM1,wide,4000,67,3112912241,0.026516504294,3.671448143027297,2.8439012944085644,0.0,5.076873254387839,0.7517929721552115,1.7158375142584057,4.284097999330735
MM1,wide,4000,68,3152106376,0.848528137424,0.2900720374973886,0.2750159998685753,0.0,1.0895314701963568,0.6226232141926636,0.03252471850598395,0.07897607709280485
MM1,wide,4000,69,3696039763,0.15,2.3406489202507275,1.4068822691153575,0.0,3.357911897089209,0.6471789793592937,0.19370578026474203,0.5406326048878669
MM1,wide,4000,70,3017305172,0.02025,2.7108140724232905,1.6761685058222835,1.0,10.705268409118686,0.642068272355305,1.8406624411499979,4.437398993512516
MM1,wide,4000,71,3991475463,0.026516504294,3.751905793710319,2.805266072135619,0.0,9.000451000964157,0.4468568309923583,0.6773113511444918,1.4344743192012805
MM1,wide,4000,72,2325576896,0.075,0.6390717248231736,0.4524524467982548,0.0,1.3004823037489297,0.6783801935095509,0.41384091421427827,1.3285529826278812
MM1,wide,4000,73,2345851045,0.053033008589,3.2523740473502114,2.2487055885941087,0.0,16.99010935376508,0.6791659781212147,0.6200707378720827,1.9333782398172934
MM1,wide,4000,74,1078349150,0.0375,2.9333385707838056,2.02919324629793,0.0,9.529115933671838,0.6007906381776739,0.7890842407266654,2.0482041157173723
MM1,wide,4000,75,4027274691,0.026516504294,1.946367763737423,1.856366278974408,0.0,4.295670167645171,0.6389140310569187,1.019618454083505,2.961057049041978
MM1,wide,4000,76,2374937433,0.026516504294,2.63491744938282,1.8391143159383423,0.0,7.163910925490555,0.5507075557870128,1.2752875481988741,2.189910861522354
MM1,wide,4000,77,2125957013,0.0375,1.0732742134727624,0.79539648265375,0.0,4.783838901076734,0.5948886759452704,0.5885263299528333,1.7728235295602695
MM1,wide,4000,78,1358653540,0.026516504294,4.868802703203889,3.936794540126745,0.0,5.30745296251559,0.5696001813964582,1.202179161906746,3.7074463314756505
MM1,wide,4000,79,1175846864,0.0375,1.0868991689969687,1.1084429596085883,0.0,3.494142836627005,0.727512161603023,1.088196231008136,3.077752307482018
MM1,wide,4000,80,2719779336,0.212132034356,2.581210159784333,1.7235241986103074,0.0,7.178771443986311,0.6953460495710517,0.16449967058580384,0.43672071736172624
MM1,wide,4000,81,1940374772,0.075,1.5144714756426023,0.7700673587912809,0.0,12.059209063259775,0.6627654958795103,0.4589166156866256,1.2944686358441386
MM1,wide,4000,82,2439679748,0.053033008589,2.7894486132046548,1.84363565680462,0.0,5.9466559834981,0.6687214048707821,0.4601174977752549,1.4619843616953614
MM1,wide,4000,83,2856320425,0.0375,2.415484653716151,1.4756420488493809,0.0,10.663074784246987,0.6425315168593827,0.6829038046793247,2.1908158618902136
MM1,wide,4000,84,3861219000,0.0375,2.1060350294889494,1.3571877581277298,0.0,7.320341806548961,0.5920366354780989,0.7965723774525276,1.9958163400654843
MM1,wide,4000,85,1421165723,0.026516504294,5.438482772608406,4.494499281312823,0.0,20.58471200976384,0.6914811885534924,1.0774308700224635,3.245166599707395
MM1,wide,4000,86,2927228676,0.02025,3.039914702339411,2.673888944257067,1.0,2.62987482063387,0.6313264450146415,1.175928585809384,3.9812811598492654
MM1,wide,4000,87,3880305411,0.075,2.6700238830885032,1.927004552539616,0.0,3.40241932672125,0.661388139961566,0.42412650507394134,1.296088889313872
MM1,wide,4000,88,1970904393,0.053033008589,1.1502177923481227,0.8015398366961725,0.0,3.187012288596166,0.6879427501551488,0.6196014503371071,1.9660972874316203
MM1,wide,4000,89,1104125174,0.075,1.390430656911431,0.7287397475693392,0.0,4.89272367792232,0.6994931964321915,0.4205805342650739,1.3676790572249762
MM1,wide,4000,90,1247132544,0.026516504294,1.42839205585084,1.212529911910278,0.0,2.654007631869097,0.612822052159316,1.1557612641394135,2.730855540250432
MM1,wide,4000,91,1459551595,0.026516504294,2.574016109570972,1.6119649034546364,0.0,9.07961658051545,0.577943286084521,1.1281022645875893,2.8330988162357458
MM1,wide,4000,92,2705073331,0.0375,3.4711091666053875,2.572592130237844,0.0,9.771114709519658,0.625518647060772,0.8048594016749582,2.1170868600706587
MM1,wide,4000,93,1111766880,0.053033008589,1.458455458081397,1.350427500194706,0.0,4.0762814904764095,0.6192601329808108,0.49315314747670574,1.5910258758732518
MM1,wide,4000,94,3603600008,0.053033008589,1.275416657010067,0.6711777952035929,0.0,1.2529106682680766,0.6145384316640436,0.5663864999445796,1.7023237707178458
MM1,wide,4000,95,1526631005,0.0375,2.4364587579537007,1.4782506674785243,0.0,10.838061697109447,0.6564910665851712,0.9279885802933945,2.9127153689857344
MM1,wide,4000,96,277795965,0.053033008589,3.1101415941705497,2.088043873464871,0.0,4.124481373341051,0.6889204781425033,0.6672677094310185,1.8697007267440298
MM1,wide,4000,97,21570758,0.053033008589,1.4793563486618833,0.943298141747528,0.0,5.397825959575205,0.6110784485724424,0.5441707180020997,1.2620826735311166
MM1,wide,4000,98,107846371,0.075,2.335040812812955,1.508054669341218,0.0,7.984904736802086,0.6921890327026511,0.41619895786219063,1.3240937345991144
MM1,wide,4000,99,2699835958,0.0375,2.5240607185037804,1.5872468339485608,0.0,2.81757740072415,0.6917967497122036,0.8456748519401918,2.390010799824478
